,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
0,0.13218,29526.0,0,1.8353e-05,0.19224,8.9412,-0.0041186,0,11689.0,-36985.0,0,0,0,297.75,0,,0.0,-0.02052,0,0,11994.21681053186,11994.21681053186,3139.434407701201,311798.98908249754,0.9999465328070464
1,0.13218,29525.0,0,1.8353e-05,0.19264,8.9592,-0.0052247,0,11689.0,-37058.0,0,0,0,297.75,0,,9.8519e-05,-0.020421,0,0,11995.45837413061,11995.45837413061,3139.434407701201,311808.2102875527,0.9999465328070464
2,0.13217,29525.0,0,1.8353e-05,0.19304,8.9773,-0.0063309,0,11688.0,-37131.0,0,0,0,297.75,0,,0.00019704,-0.020323,0,0,11995.73012376935,11995.73012376935,3139.4598172918404,311817.8505039122,0.9999465373770925
3,0.13216,29525.0,0,1.8353e-05,0.19344,8.9953,-0.0074371,0,11687.0,-37204.0,0,0,0,297.75,0,,0.00029556,-0.020224,0,0,11995.997741498148,11995.997741498148,3139.485229056562,311827.4609373299,0.9999465419471394
4,0.13216,29525.0,0,1.8352e-05,0.19383,9.0134,-0.0085433,0,11687.0,-37277.0,0,0,0,297.75,0,,0.00039408,-0.020126,0,0,11997.254236431256,11997.254236431256,3139.485229056562,311836.7925012424,0.9999465419471394
5,0.13215,29524.0,0,1.8352e-05,0.19423,9.0314,-0.0096495,0,11686.0,-37350.0,0,0,0,297.75,0,,0.0004926,-0.020027,0,0,11997.527329222215,11997.527329222215,3139.5106429957377,311846.44457853684,0.9999465465171868
6,0.13213,29522.0,0,1.8352e-05,0.19495,9.0633,-0.0098774,0,11684.0,-37587.0,0,0,0,297.74,0,,0.00059112,-0.019929,0,0,11997.805652250574,11997.805652250574,3139.526564973878,311853.28811946884,0.9999465434209382
7,0.13212,29519.0,0,1.8351e-05,0.19568,9.0959,-0.010059,0,11682.0,-37833.0,0,0,0,297.72,0,,0.00068964,-0.01983,0,0,11998.104425038611,11998.104425038611,3139.5075797113577,311849.8112894941,0.9999465280896042
8,0.13209,29513.0,0,1.835e-05,0.19649,9.1314,-0.011797,0,11679.0,-38201.0,0,0,0,297.7,0,,0.00078816,-0.019732,0,0,11997.686497866669,11997.686497866669,3139.5140276338557,311848.642015578,0.9999465173352389
9,0.13205,29505.0,0,1.8349e-05,0.1974,9.1708,-0.015647,0,11675.0,-38736.0,0,0,0,297.68,0,,0.00088668,-0.019633,0,0,11996.578064399953,11996.578064399953,3139.545928344365,311849.98014000274,0.9999465111641364
10,0.13201,29497.0,0,1.8348e-05,0.19832,9.2102,-0.019497,0,11670.0,-39270.0,0,0,0,297.65,0,,0.0009852,-0.019535,0,0,11994.467378395842,11994.467378395842,3139.5683850252385,311841.0395799258,0.9999464973458417
11,0.13198,29491.0,0,1.8347e-05,0.19938,9.257,-0.020825,0,11667.0,-39687.0,0,0,0,297.62,0,,0.0010837,-0.019436,0,0,11994.905758194313,11994.905758194313,3139.5399684707945,311835.7712213757,0.9999464743765702
12,0.13196,29486.0,0,1.8345e-05,0.20045,9.3046,-0.02187,0,11663.0,-40090.0,0,0,0,297.6,0,,0.0011822,-0.019337,0,0,11994.330989445203,11994.330989445203,3139.571955068574,311841.0974304339,0.9999464682373985
13,0.13192,29480.0,0,1.8344e-05,0.20162,9.3559,-0.02271,0,11659.0,-40549.0,0,0,0,297.57,0,,0.0012808,-0.019239,0,0,11994.15625864391,11994.15625864391,3139.569039536154,311838.92484145315,0.9999464498696995
14,0.13189,29473.0,0,1.8343e-05,0.20292,9.4132,-0.023207,0,11655.0,-41101.0,0,0,0,297.54,0,,0.0013793,-0.01914,0,0,11994.390554665935,11994.390554665935,3139.5661483968506,311839.7979484238,0.9999464315121163
15,0.13185,29465.0,0,1.8341e-05,0.20423,9.4706,-0.023704,0,11650.0,-41653.0,0,0,0,297.51,0,,0.0014778,-0.019042,0,0,11993.683691079692,11993.683691079692,3139.588774140685,311841.3345536685,0.9999464177598948
16,0.13181,29459.0,0,1.8339e-05,0.20588,9.544,-0.020756,0,11645.0,-42221.0,0,0,0,297.48,0,,0.0015763,-0.018943,0,0,11994.187426760287,11994.187426760287,3139.61144402201,311851.87753190985,0.9999464040241152
