,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
0,7.7668,0.00018503,1952500.0,0,1.9987e-05,0.24099,696.64,0.9035,0,89766.0,768490.0,-56261.0,0,0,0,333.15,2.1385,0,,0.0,-8.1,0,0,800413.759884121,800413.759884121,6346.009841921743,348622.7733329257,1.0003956143613426
1,7.7645,0.0001828,1951900.0,0,1.9985e-05,0.2418,698.72,0.38554,0,77997.0,768170.0,-56847.0,0,0,0,333.11,1.8555,0,,0.0731,-8.0269,0,0,800298.3958540427,800298.3958540427,6346.009043781992,348608.07651606953,1.000393815314578
2,7.7622,0.00018056,1951200.0,0,1.9984e-05,0.24261,700.8,-0.13242,0,66227.0,767840.0,-57433.0,0,0,0,333.07,1.5725,0,,0.1462,-7.9538,0,0,800173.1983206316,800173.1983206316,6346.0122009639845,348593.4812994007,1.0003920102980155
3,7.7598,0.00017833,1950600.0,0,1.9982e-05,0.24342,702.89,-0.65037,0,54458.0,767510.0,-58019.0,0,0,0,333.02,1.2895,0,,0.2193,-7.8807,0,0,800048.5938000135,800048.5938000135,6345.983863773138,348568.3445274954,1.0003898078013564
4,7.7575,0.0001761,1950000.0,0,1.998e-05,0.24423,704.97,-1.1683,0,42688.0,767180.0,-58605.0,0,0,0,332.98,1.0064,0,,0.2924,-7.8076,0,0,799924.5650018898,799924.5650018898,6345.987098297726,348553.9183856274,1.0003880037972734
5,7.7551,0.00017386,1949400.0,0,1.9978e-05,0.24504,707.05,-1.6863,0,30919.0,766850.0,-59191.0,0,0,0,332.94,0.7234,0,,0.3655,-7.7345,0,0,799801.1196927202,799801.1196927202,6345.990373412454,348539.5771295,1.000386200322938
6,7.7528,0.00017163,1948700.0,0,1.9976e-05,0.24585,709.13,-2.2042,0,19149.0,766530.0,-59777.0,0,0,0,332.9,0.44037,0,,0.4386,-7.6614,0,0,799688.6933015421,799688.6933015421,6345.98976427726,348525.30410043086,1.0003844037425749
7,7.7502,0.00016952,1948100.0,0,1.9974e-05,0.24681,711.61,-2.7186,0,9232.6,766160.0,-60427.0,0,0,0,332.85,0.20213,0,,0.5117,-7.5883,0,0,799565.8772101166,799565.8772101166,6345.977274932807,348505.72644568956,1.000382177713753
8,7.7461,0.00016802,1947200.0,0,1.9971e-05,0.24852,716.07,-3.2157,0,8349.1,765620.0,-61388.0,0,0,0,332.79,0.18217,0,,0.5848,-7.5152,0,0,799473.5142627747,799473.5142627747,6346.00007020802,348501.8475915736,1.0003794467511395
9,7.742,0.00016653,1946300.0,0,1.9969e-05,0.25022,720.52,-3.7128,0,7465.7,765080.0,-62350.0,0,0,0,332.74,0.16222,0,,0.6579,-7.4421,0,0,799381.1403940566,799381.1403940566,6346.054542833776,348508.6395029796,1.0003771155934602
10,7.7379,0.00016503,1945300.0,0,1.9966e-05,0.25193,724.97,-4.2098,0,6582.2,764550.0,-63311.0,0,0,0,332.68,0.14226,0,,0.731,-7.369,0,0,799304.7788539332,799304.7788539332,6346.073640038874,348505.51510597963,1.0003743939024152
11,7.7338,0.00016354,1944400.0,0,1.9964e-05,0.25363,729.42,-4.7069,0,5698.8,764010.0,-64273.0,0,0,0,332.62,0.12231,0,,0.8041,-7.2959,0,0,799217.9206426268,799217.9206426268,6346.096785458164,348502.4396592562,1.000371667429555
