"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.7752,0.0001851,1.9543e+06,0,1.9994e-05,0.23633,684.06,0.92759,0,87184,7.6967e+05,-54155,0,0,0,333.3,2.0755,0,,0,-8.1,0,0
7.7729,0.00018286,1.9537e+06,0,1.9992e-05,0.23714,686.16,0.39641,0,75757,7.6934e+05,-54742,0,0,0,333.26,1.8009,0,,0.0731,-8.0269,0,0
7.7705,0.00018063,1.953e+06,0,1.999e-05,0.23796,688.25,-0.13478,0,64330,7.6902e+05,-55330,0,0,0,333.22,1.5263,0,,0.1462,-7.9538,0,0
7.7682,0.00017839,1.9524e+06,0,1.9988e-05,0.23877,690.35,-0.66596,0,52903,7.6869e+05,-55918,0,0,0,333.18,1.2517,0,,0.2193,-7.8807,0,0
7.7658,0.00017616,1.9518e+06,0,1.9987e-05,0.23958,692.44,-1.1971,0,41476,7.6836e+05,-56506,0,0,0,333.13,0.97711,0,,0.2924,-7.8076,0,0
7.7635,0.00017392,1.9511e+06,0,1.9985e-05,0.24039,694.53,-1.7283,0,30048,7.6803e+05,-57093,0,0,0,333.09,0.70251,0,,0.3655,-7.7345,0,0
7.7611,0.00017168,1.9505e+06,0,1.9983e-05,0.2412,696.63,-2.2595,0,18621,7.677e+05,-57681,0,0,0,333.05,0.4279,0,,0.4386,-7.6614,0,0
7.7585,0.00016957,1.9498e+06,0,1.9981e-05,0.24217,699.13,-2.7884,0,8992.6,7.6733e+05,-58331,0,0,0,333.01,0.19673,0,,0.5117,-7.5883,0,0
7.7544,0.00016808,1.9489e+06,0,1.9978e-05,0.24388,703.62,-3.3058,0,8131.7,7.668e+05,-59286,0,0,0,332.95,0.17729,0,,0.5848,-7.5152,0,0
7.7503,0.00016658,1.948e+06,0,1.9976e-05,0.24559,708.1,-3.8233,0,7270.8,7.6627e+05,-60241,0,0,0,332.89,0.15786,0,,0.6579,-7.4421,0,0
7.7463,0.00016508,1.9471e+06,0,1.9973e-05,0.2473,712.59,-4.3407,0,6409.8,7.6573e+05,-61195,0,0,0,332.83,0.13843,0,,0.731,-7.369,0,0
7.7422,0.00016358,1.9462e+06,0,1.9971e-05,0.24901,717.08,-4.8582,0,5548.9,7.652e+05,-62150,0,0,0,332.78,0.119,0,,0.8041,-7.2959,0,0
7.7381,0.00016209,1.9453e+06,0,1.9968e-05,0.25072,721.56,-5.3756,0,4688,7.6466e+05,-63105,0,0,0,332.72,0.099568,0,,0.8772,-7.2228,0,0
7.734,0.00016059,1.9444e+06,0,1.9965e-05,0.25243,726.05,-5.8931,0,3827,7.6413e+05,-64059,0,0,0,332.66,0.080136,0,,0.9503,-7.1497,0,0
7.7291,0.00015922,1.9433e+06,0,1.9962e-05,0.25446,731.35,-6.4029,0,3163,7.6348e+05,-65207,0,0,0,332.59,0.065211,0,,1.0234,-7.0766,0,0
7.7223,0.00015815,1.9418e+06,0,1.9958e-05,0.25724,738.52,-6.8953,0,2948.4,7.6259e+05,-66797,0,0,0,332.5,0.06057,0,,1.0965,-7.0035,0,0
7.7155,0.00015709,1.9403e+06,0,1.9954e-05,0.26001,745.7,-7.3876,0,2733.7,7.617e+05,-68387,0,0,0,332.4,0.055929,0,,1.1696,-6.9304,0,0
7.7087,0.00015602,1.9388e+06,0,1.9949e-05,0.26279,752.87,-7.88,0,2519,7.6081e+05,-69977,0,0,0,332.3,0.051288,0,,1.2427,-6.8573,0,0
7.7019,0.00015495,1.9374e+06,0,1.9945e-05,0.26556,760.04,-8.3724,0,2304.4,7.5992e+05,-71567,0,0,0,332.21,0.046647,0,,1.3158,-6.7842,0,0
7.6951,0.00015388,1.9359e+06,0,1.9941e-05,0.26834,767.21,-8.8648,0,2089.7,7.5903e+05,-73157,0,0,0,332.11,0.042006,0,,1.3889,-6.7111,0,0
