,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
0,0.13214,0.00018336,29520.0,0,1.8352e-05,0.1931,8.9778,-0.0064473,0,12387.0,11685.0,-37496.0,0,0,0,297.74,17.188,0,,0.0,-0.02052,0,0,11992.837192652589,11992.837192652589,3139.5011466846763,311808.76014075114,0.9999465388498424
1,0.13213,0.0001833,29519.0,0,1.8352e-05,0.19375,9.0074,-0.0079908,0,12368.0,11684.0,-37653.0,0,0,0,297.73,17.158,0,,9.8519e-05,-0.020421,0,0,11993.92088867693,11993.92088867693,3139.4916513762123,311813.9617886687,0.9999465311829177
2,0.13212,0.00018324,29517.0,0,1.8351e-05,0.1944,9.0369,-0.0095342,0,12348.0,11682.0,-37809.0,0,0,0,297.72,17.127,0,,0.00019704,-0.020323,0,0,11993.978362740472,11993.978362740472,3139.5075797113577,311819.16669129033,0.9999465280896042
3,0.13211,0.00018319,29516.0,0,1.8351e-05,0.19506,9.0664,-0.011078,0,12329.0,11681.0,-37966.0,0,0,0,297.71,17.096,0,,0.00029556,-0.020224,0,0,11995.06977182522,11995.06977182522,3139.498088585289,311824.4262898486,0.9999465204245672
4,0.1321,0.00018313,29515.0,0,1.835e-05,0.19571,9.096,-0.012621,0,12310.0,11680.0,-38123.0,0,0,0,297.7,17.065,0,,0.00039408,-0.020126,0,0,11996.175613842875,11996.175613842875,3139.488598463071,311829.7927324528,0.9999465127599506
5,0.13209,0.00018307,29514.0,0,1.835e-05,0.19637,9.1255,-0.014165,0,12291.0,11678.0,-38280.0,0,0,0,297.69,17.034,0,,0.0004926,-0.020027,0,0,11996.254629010906,11996.254629010906,3139.5045406932195,311835.1619725121,0.9999465096720911
6,0.13205,0.000183,29506.0,0,1.8348e-05,0.19721,9.1616,-0.020425,0,12253.0,11674.0,-38776.0,0,0,0,297.66,16.98,0,,0.00059112,-0.019929,0,0,11994.92187620334,11994.92187620334,3139.5015259630545,311824.3589255925,0.9999464912646562
7,0.13202,0.00018293,29498.0,0,1.8347e-05,0.19806,9.1981,-0.026936,0,12214.0,11670.0,-39289.0,0,0,0,297.63,16.924,0,,0.00068964,-0.01983,0,0,11993.580845631766,11993.580845631766,3139.4985355426156,311813.5009570678,0.9999464728673078
8,0.13198,0.00018285,29489.0,0,1.8346e-05,0.19891,9.2346,-0.033447,0,12175.0,11666.0,-39802.0,0,0,0,297.61,16.868,0,,0.00078816,-0.019732,0,0,11992.290865178618,11992.290865178618,3139.530498302327,311813.5060377652,0.9999464667209913
9,0.13194,0.00018278,29481.0,0,1.8344e-05,0.19976,9.2711,-0.039958,0,12136.0,11661.0,-40316.0,0,0,0,297.58,16.812,0,,0.00088668,-0.019633,0,0,11989.99671923456,11989.99671923456,3139.5530285097957,311803.2198591791,0.9999464529325541
10,0.13191,0.00018271,29473.0,0,1.8343e-05,0.20061,9.3076,-0.046469,0,12097.0,11657.0,-40829.0,0,0,0,297.55,16.756,0,,0.0009852,-0.019535,0,0,11988.692830056189,11988.692830056189,3139.550123410262,311792.66011121444,0.9999464345694971
11,0.13187,0.00018262,29466.0,0,1.8342e-05,0.20178,9.3588,-0.049729,0,12066.0,11653.0,-41340.0,0,0,0,297.52,16.71,0,,0.0010837,-0.019436,0,0,11988.514919940679,11988.514919940679,3139.547242714421,311790.47407384065,0.9999464162165606
12,0.13184,0.00018253,29459.0,0,1.834e-05,0.20298,9.4115,-0.052624,0,12036.0,11648.0,-41850.0,0,0,0,297.49,16.664,0,,0.0011822,-0.019337,0,0,11987.389079546496,11987.389079546496,3139.5698832892595,311788.89878485084,0.999946402471093
13,0.1318,0.00018244,29453.0,0,1.8339e-05,0.20418,9.4643,-0.055519,0,12006.0,11644.0,-42360.0,0,0,0,297.46,16.619,0,,0.0012808,-0.019239,0,0,11987.37618423454,11987.37618423454,3139.567060224891,311787.9562032118,0.9999463841415778
14,0.13177,0.00018235,29446.0,0,1.8338e-05,0.20539,9.517,-0.058414,0,11976.0,11640.0,-42870.0,0,0,0,297.44,16.573,0,,0.0013793,-0.01914,0,0,11987.316398842648,11987.316398842648,3139.5992104483016,311797.1552003044,0.999946378064338
15,0.13173,0.00018226,29439.0,0,1.8336e-05,0.20659,9.5698,-0.061309,0,11946.0,11636.0,-43380.0,0,0,0,297.41,16.528,0,,0.0014778,-0.019042,0,0,11987.353851582448,11987.353851582448,3139.596439882128,311796.6025050127,0.9999463597559489
16,0.13168,0.00018214,29428.0,0,1.8334e-05,0.20822,9.6406,-0.063533,0,11918.0,11629.0,-44141.0,0,0,0,297.37,16.486,0,,0.0015763,-0.018943,0,0,11985.736754040243,11985.736754040243,3139.635346888862,311796.2542400013,0.9999463430438578
17,0.13162,0.00018202,29417.0,0,1.8332e-05,0.20993,9.7147,-0.065637,0,11890.0,11622.0,-44947.0,0,0,0,297.32,16.444,0,,0.0016748,-0.018845,0,0,11984.480383752221,11984.480383752221,3139.639380958839,311788.1258280303,0.9999463141222699
18,0.13156,0.0001819,29406.0,0,1.833e-05,0.21164,9.7888,-0.067741,0,11862.0,11616.0,-45753.0,0,0,0,297.28,16.402,0,,0.0017734,-0.018746,0,0,11984.29345768087,11984.29345768087,3139.652891714502,311790.78880338883,0.9999462928556916
