"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -3.061465287,     -0.2578556749,     -0.9461575629,       2.421925763,      0.8182107061,        2.85861105
          0,           0,           1,      -3.090376921,     -0.4328425535,      -1.030993085,       2.373392293,      0.6886741076,       2.815046956
          0,           0,           2,      -3.161575517,      -0.608931322,      -1.113990102,       2.288926225,      0.5477890079,       2.751669658
          0,           0,           3,      -3.212960688,     -0.7758183271,      -1.209556636,       2.238186732,        0.40301833,       2.692778076
          0,           0,           4,      -3.258497987,     -0.9218333829,      -1.306136298,       2.200336853,      0.2665343488,       2.638484267
          0,           0,           5,       -3.29697618,      -1.035853608,        -1.3504432,       2.173061005,      0.1506812523,       2.591695378
          0,           0,           6,      -3.310882624,      -1.139181711,      -1.458636379,       2.172162004,       0.059986618,       2.541988361
          0,           0,           7,      -3.351627551,      -1.205727159,       -1.46767908,       2.137459059,    -0.01141812648,       2.483186555
          0,           0,           8,      -3.393611753,      -1.282821113,      -1.531648645,       2.119733609,     -0.0728618744,       2.415212673
          0,           0,           9,      -3.471486558,       -1.32629223,       -1.50194478,        2.04669387,     -0.1206361559,       2.352683227
          0,           0,          10,      -3.540064097,      -1.328140342,      -1.455019636,       1.988805886,     -0.1576512407,       2.293966344
          0,           0,          11,      -3.645081973,      -1.304990325,      -1.386099051,       1.882461374,     -0.1886980901,       2.227668017
          0,           0,          12,      -3.750928884,      -1.281357992,      -1.325920393,       1.780480948,     -0.2160354531,       2.177034644
          0,           0,          13,      -3.830555649,      -1.263049825,      -1.259514031,        1.69679534,     -0.2407890503,       2.160732377
          0,           0,          14,      -3.893646227,      -1.248022707,      -1.241340873,       1.642477584,     -0.2629041959,       2.176446128
          0,           0,          15,      -3.924572314,      -1.245877419,      -1.309061108,       1.613903857,     -0.2818368584,       2.227641194
          0,           0,          16,      -3.930077379,       -1.24709347,      -1.361923648,       1.610829886,     -0.2984271356,       2.297723516
          0,           0,          17,      -3.915976522,      -1.258997427,      -1.414609293,       1.630807976,      -0.312238069,       2.370822958
          0,           0,          18,      -3.894412379,      -1.275852604,      -1.459559783,       1.654486702,     -0.3243091789,       2.435182683
          0,           0,          19,      -3.874748192,      -1.272071347,      -1.476175352,        1.67023926,     -0.3339348494,       2.485372738
          0,           0,          20,      -3.868408401,      -1.258801342,      -1.443034464,       1.678164708,     -0.3423183989,       2.519846928
          0,           0,          21,      -3.875051426,      -1.239057406,      -1.386946511,       1.671849969,     -0.3506231931,       2.537269109
          0,           0,          22,      -3.891159394,      -1.232820154,      -1.338598117,       1.652980333,     -0.3584243207,       2.537106976
          0,           0,          23,      -3.919400115,      -1.232902697,      -1.308020154,       1.624745543,     -0.3668224551,       2.519386996
          0,           0,          24,      -3.960409218,      -1.236240286,      -1.300688253,       1.583805797,     -0.3740377354,       2.484419086
          0,           0,          25,      -3.995848238,      -1.238308468,       -1.31772295,        1.54948901,     -0.3804229411,       2.434698343
          0,           0,          26,      -4.019903809,      -1.255689707,      -1.345787183,       1.528629915,     -0.3874785475,       2.372736189
          0,           0,          27,      -4.035743937,      -1.282354376,      -1.338228502,       1.516137926,     -0.3949630107,       2.307450031
          0,           0,          28,      -4.040233464,      -1.308584696,      -1.425990319,       1.513685212,     -0.4015831293,       2.257493035
          0,           0,          29,      -4.044601296,      -1.312983708,      -1.489259325,       1.509402224,      -0.405793633,       2.239819697
          0,           0,          30,      -4.050843642,      -1.325285122,      -1.549592825,       1.503498885,     -0.4103607476,       2.259729212
          0,           0,          31,      -4.059229234,      -1.338486263,      -1.590143269,       1.496127308,     -0.4151429461,       2.297316691
          0,           0,          32,      -4.066408092,      -1.339793905,      -1.598715225,       1.487889096,      -0.419696341,       2.335798557
          0,           0,          33,      -4.078242324,      -1.330500825,      -1.616503288,       1.474907405,     -0.4229004518,       2.368442006
          0,           0,          34,      -4.095790648,      -1.334041069,      -1.615569925,       1.457455609,     -0.4256751226,       2.396006282
          0,           0,          35,      -4.110124048,      -1.336057937,      -1.601684647,       1.448225419,     -0.4289615551,       2.419391296
          0,           0,          36,      -4.127429901,      -1.320469691,       -1.58055048,       1.425957758,     -0.4330287487,       2.439876449
          0,           0,          37,      -4.132122219,      -1.310083866,      -1.563438354,       1.419301027,     -0.4365944931,       2.458578695
