"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.7575,0.00019762,1.9644e+06,0,2.0102e-05,0.23773,689.02,2.3307,0,9.0397e+05,7.7346e+05,-47386,0,0,0,335.71,23.029,0,,0,-0.0081,0,0
7.7551,0.00019697,1.9638e+06,0,2.01e-05,0.23874,691.67,1.3883,0,8.6879e+05,7.7313e+05,-47979,0,0,0,335.67,22.082,0,,7.31e-05,-0.0080269,0,0
7.7526,0.00019632,1.9633e+06,0,2.0099e-05,0.23975,694.33,0.44592,0,8.3361e+05,7.728e+05,-48572,0,0,0,335.63,21.135,0,,0.0001462,-0.0079538,0,0
7.7501,0.00019567,1.9627e+06,0,2.0097e-05,0.24075,696.98,-0.49648,0,7.9843e+05,7.7247e+05,-49164,0,0,0,335.59,20.188,0,,0.0002193,-0.0078807,0,0
7.7477,0.00019502,1.9621e+06,0,2.0095e-05,0.24176,699.63,-1.4389,0,7.6326e+05,7.7214e+05,-49757,0,0,0,335.56,19.241,0,,0.0002924,-0.0078076,0,0
7.7452,0.00019436,1.9615e+06,0,2.0094e-05,0.24277,702.28,-2.3813,0,7.2808e+05,7.718e+05,-50350,0,0,0,335.52,18.294,0,,0.0003655,-0.0077345,0,0
7.7427,0.00019371,1.9609e+06,0,2.0092e-05,0.24377,704.94,-3.3237,0,6.929e+05,7.7147e+05,-50943,0,0,0,335.48,17.347,0,,0.0004386,-0.0076614,0,0
7.7402,0.0001931,1.9603e+06,0,2.009e-05,0.24497,708.13,-4.112,0,6.6136e+05,7.7113e+05,-51561,0,0,0,335.44,16.501,0,,0.0005117,-0.0075883,0,0
7.7376,0.00019259,1.9598e+06,0,2.0088e-05,0.24678,713.02,-4.421,0,6.4116e+05,7.7073e+05,-52260,0,0,0,335.38,15.967,0,,0.0005848,-0.0075152,0,0
7.735,0.00019209,1.9593e+06,0,2.0085e-05,0.24858,717.92,-4.73,0,6.2095e+05,7.7034e+05,-52959,0,0,0,335.33,15.432,0,,0.0006579,-0.0074421,0,0
7.7323,0.00019159,1.9588e+06,0,2.0082e-05,0.25038,722.81,-5.039,0,6.0075e+05,7.6995e+05,-53657,0,0,0,335.27,14.898,0,,0.000731,-0.007369,0,0
7.7297,0.00019109,1.9583e+06,0,2.008e-05,0.25218,727.7,-5.3481,0,5.8055e+05,7.6956e+05,-54356,0,0,0,335.21,14.364,0,,0.0008041,-0.0072959,0,0
7.7271,0.00019059,1.9578e+06,0,2.0077e-05,0.25398,732.59,-5.6571,0,5.6035e+05,7.6917e+05,-55055,0,0,0,335.16,13.83,0,,0.0008772,-0.0072228,0,0
7.7245,0.00019008,1.9573e+06,0,2.0075e-05,0.25578,737.48,-5.9661,0,5.4015e+05,7.6878e+05,-55754,0,0,0,335.1,13.296,0,,0.0009503,-0.0071497,0,0
7.7196,0.00018962,1.9562e+06,0,2.0071e-05,0.25811,743.62,-6.292,0,5.2365e+05,7.6811e+05,-56941,0,0,0,335.02,12.864,0,,0.0010234,-0.0070766,0,0
7.7124,0.00018918,1.9546e+06,0,2.0067e-05,0.261,751.06,-6.6358,0,5.1106e+05,7.6716e+05,-58644,0,0,0,334.92,12.539,0,,0.0010965,-0.0070035,0,0
7.7052,0.00018875,1.953e+06,0,2.0062e-05,0.26388,758.51,-6.9796,0,4.9847e+05,7.6621e+05,-60347,0,0,0,334.81,12.215,0,,0.0011696,-0.0069304,0,0
